id	name	lyric	region	topic
30	嘎达梅林	南方飞来的小鸿雁啊 不落长江不呀不起飞 要说起义的嘎达梅林 是为了蒙古人民的土地 北方飞来的大鸿雁啊 不落长江不呀不起飞 要说造反的嘎达梅林 是为了蒙古人民的土地 天上的鸿雁从南往北飞 是为了追求太阳的温暖 反抗王爷的嘎达梅林 是为了蒙古人民的幸福 天上的鸿雁从北往南飞 是为了追求太阳的温暖 造反起义的嘎达梅林 是为了蒙古人民的土地	新疆	其他
31	牧歌	蓝蓝的天空上飘着那白云 白云的下面盖着雪白的羊群 白云的下面盖着雪白的羊群 羊群好像是斑斑的白银 洒在草原上 多么爱煞人呦 洒在草原上 多么爱煞人呦 蓝蓝的天空上飘着那白云 白云的下面盖着雪白的羊群 白云的下面盖着雪白的羊群 白云的下面盖着雪白的羊群	内蒙古	其他
32	森吉德玛	碧绿的湖水 明亮的蓝天比不上你的纯洁啊呵依 　　金色芳香的桂花也比不上你的美丽啊呵依 　　聪明的姑娘 森吉德玛我时刻想念着你啊呵依 森吉德玛啊呵依 狠心的爹娘为什么把你远嫁到天边唉达 再也不能相见呐 森吉德玛 　　跨上了骏马 离别了家乡 　　哪怕路途多遥远 啊呵依 　　为了寻找你呀我走遍了茫茫草原啊呵依 　　心上的姑娘呀森吉德玛你如今在哪里啊呵依 森吉德玛啊呵依 为了你我受尽了草原的风霜望穿了双眼唉达依 然不能相见呐 森吉德玛	内蒙古	其他
33	诺恩吉亚	鸿雁秋天飞多远 春天都注定要回来 海青河边的诺恩吉雅 看不到故乡的炊烟 马儿静静地张望 风儿吹起车上的白毡 嫁到远方的诺恩吉雅 想家的泪水盈满双眼 马儿静静地张望 风儿吹起车上的白毡 嫁到远方的诺恩吉雅 想家的泪水盈满双眼	内蒙古	其他
34	辽阔的草原	"虽然有辽阔的草原不知道何处有泥滩虽然有辽阔的草原不知道何处有泥滩(草原之歌天地间飘荡,辽阔深远!感动发自原始的净土!天籁源于故土的呼唤!天下最美的女中音啊,为你陶醉!)虽然有美丽的姑娘不知道她的心愿虽然有辽阔的草原不知道何处有泥滩"	内蒙古	其他
35	辽阔富饶的阿拉善	辽阔富饶的阿拉善故乡，  哪里有这样美好的地方。  宝藏丰富中故乡的骄傲，  竞赛比武是祖先的规章。  新年快乐纵情歌唱，  勇敢的年轻人奔赴战场，  蓬松大树靠的是树根，  我们靠的是英勇顽强。	内蒙古	其他
36	思乡曲	月圆了 想家了 想着绿草无边的故乡 想家了 月圆了 想着炊烟缭绕的毡房 想着炊烟缭绕的毡房 那里有阿妈守望的身影 那里有月光下深情的目光 每逢佳节倍思亲人 游子眼里涌动着泪花 每当月圆的时候 故乡的河水在心中流淌 每当大雁飞过天空 母亲的呼唤在耳边回响 夜深了 风清了 归雁声声回荡在天边 风清了 夜深了 万千思绪飘落在远方 万千思绪飘落在远方 想起阿妈奶茶暖在心里 想起她的目光难以入眠 每逢佳节倍思亲人 游子眼里涌动着泪花 每当月圆的时候 故乡的河水在心中流淌 每当大雁飞过天空 母亲的呼唤在耳边回响 每当月圆的时候 故乡的河水在心中流淌 每当大雁飞过天空 母亲的呼唤在耳边回响 母亲的呼唤在耳边回响 嗨	内蒙古	其他
37	一对白鸽子	左边的黄河么噢呀右边的石崖么哎呀雪白的鸽子喳哪哪喳哪哪胡噜噜哗哪哪飞水面上飞来么噢呀阿哥连尕妹么噢呀一对的鸽子么哎呀尾巴上连子喳哪哪喳哪哪胡噜噜哗哪哪响什么人的哨子么噢呀一对白鸽子么噢呀青天里飞来么哎呀他俩是天使喳哪哪喳哪哪胡噜噜哗哪哪飞下来的对对么噢呀	甘青宁	小调
38	在那遥远的地方	在那遥远的地方有位好姑娘人们走过了她的帐房都要回头留恋地张望她那粉红的笑脸好像红太阳她那美丽动人的眼睛好像晚上明媚的月亮我愿抛弃了财产跟她去放羊每天看着她动人的眼睛和那美丽金边的衣裳金银滩金银滩我愿做一只小羊坐在她身旁我愿她拿着细细的皮鞭不断轻轻打在我身上我愿她拿着细细的皮鞭不断轻轻打在我身上	甘青宁	小调
39	上去高山望平川	（哎）上去（个的）高（呀）山（者哟啊呀）望（呀哎）平（了）川（呀），（哎哟望平了川呀），平川里（哎）有一朵（呀）牡丹（呀）；（哎）看起来（是的）容（呀啊）易（者哟啊呀）摘（呀哎）去（是）难（呀），（哎哟我是摘去是难呀），摘不到（哎我的）手里是（呀）枉然，（枉呀然噫）。	甘青宁	山歌
